sku,name,description,category,subcategory,brand,model,sell_price,notes,warehouse,unit
ITCG402,ITCG402 - Telecamere Video Analisi Essential,"E DESCRIZIONE 8FW deo IIS, Onvir: Mini Builet Hykon InTelligent Camera 4 Megapixel IP sensore 1/2.2” progressive scan CMOS, compressione Ultra H.265, H.264f H.265/ MIPEG, ottica fissa 2,8mm F2.0, 0,01 Lux {F.2.0, AGC ON} illluminazione minima colori, 0 Lux IR on, shutter ; Auto/manual 1 1/100000s, Day/Night ICR {Filtro Meccanico), Smart IR portata led 30m 850nm, ONYIF {Profile $, Profile G a Profile T}, API, SD card max 256G, ANR, NAS, WDR 120dB, 2D/3D DIR, S/N >52, Corridor mode, BLC, HLC, ROI 8 aree, Digit: Defoe, privacy mask 4 aree, gestone profili separati Indipendenti, Microfono incorporato, Video Bit Rate 128 Kbps""”6144 kbps. Video analisi BASIC, Algoritmi intelligenti: motion detector, Ultra Morion Detection {classificazione veicoli/persone), tampering. Materiale metallico, vitena In acciaio, dim. 166 x 63 x 62mm , IP67, temperatura di funzionamento -30°C * 60""C,",Sistemi Over IP,Telecamere Video Analisi Essential,Hykon,ITCG402,199.0,ACCESSORI,listino,pz
ITCL402,ITCL402 - Eyeball Hykon InTelligent Camera 4 Megapixel IP,"peso 0,4Kg, alim. 12Ycc/PoE IEEE80?2..3af. I 1 pa, BFW no © Meo, Onvie: Eyeball Hykon InTelligent Camera 4 Megapixel IP, sensore 1/2.9” progressive scan CMOS, compressione Ultra H.265, H.264, H.265/ MIPEG, ottica fissa 2,8mm F2.0, 0,01 Lux {F.2.0, AGCON) illluminazione minima colori, 0 Lux IR on, shutter Auto/ HY OM manual 1” 1/100D00s, Day/Night ICR [Filtro Meccanico), Smart IR portata led 30m 850nm, ONYWIF {Profile 5, Profile G, Profi ua T}, API, SD card max 256G, ANR, NAS, WDR 120dB, 2D/3D DIR, 5/N >52, Corridor mode, BLC, HLC, ROI 8 aree, Digital Defay I privacy mask 4 aree, gestione profili separati indipendenti, Microfono incorporata, Video Bit Rate 128 Kbps""6144 kbps. Vid analisi BASFC, Algoritmi intelligenti: motion detector, Ultra Morion Detection [classificazione veicoli/persone], tampering.",Sistemi Over IP,Telecamere Video Analisi Essential,Hykon,ITCL402,199.0,al BOX4,listino,pz
ITCD402,ITCD402 - Bullet Hykon Intelligent Camera 4 Megapixel IP,"] Materiale metallico, viteria in acciaio, dim. D118 x I6mm, 1P67, temperatura di funzionamento -30°C * 60""C, peso 0,4Kg, all 12Vcc/PoE IEEE802.3af. 12750 RT ee Onwe' Bullet Hykon Intelligent Camera 4 Megapixel IP, sensore 1/3” progressive scan CMOS, compressione Ultra H.265, H.264/ H.265/ MIPEG, ottica varifocal motorizzata 2,3-12mm autofocus F1.6, 0,003 Lux [F.1.6, AGC ON] illluminazione minima col O Lux IR on, shutter Auto/manual 1 * 171000008, Day/Night ICR {Filtro Meccanico), Smart IR portata led 50m 250nm, ONVII {Profile S, Profile G, Profile T}, API, SD card max 256G, ANR, NAS, WDR 120dB, 2D/3D DIR, S/N >52, Corridor mode, BLC, 9 HLC, ROt 8 aree, Digital Defog, privacy mask 4 aree, gestione profili separati indipendenti, Microfono incorporato, Video Bit ì Rate 128 Kbps”6144 kbps. Video anafisi BASIC, Aigoritmi intelligenti: attraversamento linea, moton detector, ingresso In ari",Sistemi Over IP,Telecamere Video Analisi Essential,Hykon,ITCD402,345.0,STPA,listino,pz
ITCHA02,ITCHA02 - Eyeball Hykon InTelligent Camera 4 Megapixel IP,"intrusion, tampering. Materiale metallico, vitena In acciaio, dim. 206 x 73 x 73mm, IP67, temperatura di funzionamento -30 “ 60°C, peso 0,5kg, alim. 12Ycc/PoE IEEE807,3af. 1227 MA ee Onwvar Eyeball Hykon InTelligent Camera 4 Megapixel IP, sensore 1/3” progressive scan CMOS, compressione Ultra H.265, H.264/ H.265/ MIPEG, ottica varifocal motorizzata 2,8-12mm autofocus F1.6, 0,003 Lux [F.1.6, AGC ON] illluminazione minima col ci O Lux IR on, shutter Auto/manual 1 11000005, Day/Night ICR (Filtro Meccanico], Smart IR portata led 40m 850nm, ONVII {Profile 5, Profile G, Profile T}, API, SD card max 256G, ANR, NAS, WDR 120dB, 2D/3D DIR, S/N >52, Corridor made, BLC, HLC, ROÈ 8 aree, Digital Defog, privacy mask 4 aree, pestione profili separati indipendenti, Microfono incorporato, Video Bit Rate 128 Kbps”6144 kbps. Video analisi BASIC, Algoritmi intelligenti: attraversamento linea, motion detector, ingresso in ari",Sistemi Over IP,Telecamere Video Analisi Essential,Hykon,ITCHA02,345.0,le BOX7,listino,pz
ITCD404,ITCD404 - Bullet HYKON 4 Megapixel IP,"-30°C * 60""C, peso 0,5Kg, alim. 12Vcc max 2,8VV/PoE IEEE802.3af. di li aa INTELLIGENT l E OFN event = È a, (3 Ome Bullet HYKON 4 Megapixel IP, sensore 11,8” CMOS NEVERNEGHT Technology NG, compressione Ultra H.265, H_264/ H.265 IVJPEG, ottica fissa Amm@F1.0, 0,0003 Lux ililluminazione minima a colori (F1.0, AGCON], D Lux LED on, Maxi Led a iuce bianca portata max 30mt, ONVIF (Profile 5, Profile G, Profile T), API, SDK, SD card max 512G, WDR 120dB, 2D/3D DNR, S/N >52, BLC, HLC, ROf 8 aree, Corridor mode, Digital Defog, Digital Flip, microfono integrato, privacy mask 4 aree, ANR, NAS[NFS}, gestione profili separati indipendenti. Video analisi Essential: attraversamento linea, metlon detector, ingresso in area intrusion, tampering, viteria In acciaio, dim. 206 x 73 x 73mm, IP67, temperatura di funzionamento -30""C "" 60°C, peso",Sistemi Over IP,Telecamere Video Analisi Essential,Hykon,ITCD404,264.0,tl,listino,pz
ITCV402,ITCV402 - Flat dome HYKON cable-free InTelligent Camera 4 Megapixel I,"E DESCRIZIONE FE alla. INTELLIGENT > = 8FW Me IT QOnvie: Flat dome HYKON cable-free InTelligent Camera 4 Megapixel IP {2560*1440], sensore 1/3” EVERLIGHT technology CMOS, compressione Ultra H.265, H.264/ H.265/ MIPEG, ottica fissa 2,8mm, 0,003 Lux illuminazione minima, DayfNight ICR {Filtrc Meccanico], Smart IR portata led 30m, ONYVIF {Profile 5, Profile G, Profite T, Profile M], API, SD card max 256G, WDR 120dE È 2D/f3D DNR, S7N >56, BLC, HLC, ROI 8 aree, Corridor mode, Digital Defog, Digital Flip, privacy mask 4 aree, funzione ANR, 1 ingresso/uscita allarme, microfono incorporato, gestione profili separati indipendenti. Algoritmi intelligenti deep learnine: ; Attraversamento linea, motlon detection 4 aree, ingresso m area, Intnusion, uscita dall’area, tampering, audio detection,",Sistemi Over IP,Telecamere Video Analisi Premium Everlight,Hykon,ITCV402,358.0,ACCESSORI,listino,pz
ITCV4027,ITCV4027 - Monitoring. Viteria in acciaio,", intelligent face capture, People Fiow Counting, Crowd Density Monitoring. Viteria in acciaio, dim. DLO9mmx62mm - 0,3KE, IP40, temperatura di funzionamento-30°C * 55°C, alim. 12Vcc/PoE IEEE802.3af — 4,514 1327 ReeaaTT sta Onvir: Dome HYKON cable-free InTelligent Camera 4 Megapixel IP {2560*1440), sensore 1/2.7” EVERLIGHT technology CMOS, compressione Ultra H.265, H.264/ H.265/ MJPEG, ottica motorizzata autofocus 2,7-13,5 mm, 0,002 Lux illluminazione mini i Day/Night ICR {Filtro Meccanico), Smart IR portata led 30m, ONVIF [Profile £, Profile G, Profile T, Profile M), API, SD card m i 256G, WDR 120dB, 2D/3D DINR, S/N >56, BLC, HLC, ROI 8 aree, Corridor mode, Digital Defog, Digital Flip, privacy mask 4 are funzione ANR, 1 ingresso/uscita audio, microfono incorporato, gestione profili separati indipendenti. Algoritmi intelligenti 7 deep learning: Attraversamento linea, motion detection 4 aree, ingresso In area, intrusion, uscita dall'area, tampering, audi",Sistemi Over IP,Telecamere Video Analisi Premium Everlight,Hykon,ITCV4027,555.0,STPJ2,listino,pz
ITCX502,ITCX502 - Monitoring. Yiteria in accialo,"detection, intellitent face capture, Peopie Flow Counting, Crowd Density Monitoring. Yiteria in accialo, dim. D128mmx100n -0,6Kg, IP66, IKLO, temperatura di funzionamento -30°C * 55°C, alim. 12Yoc/PoE IEEE802.3af — 6,54 8FW eve o © MS. Onwvie: Mini Butlet HYKON InTelligent Camera 5 Megapixel IP. sensore 1/2,7” EVERUGHT technology CM05, compressione Ultra H.265, H.264/ H.265/ MIPEG, ottica fissa 2,8mm, 0,002 Lux illluminazione minima, Day/Night ICR [Filtro Meccanico), Smart IR portata led 40m, ONVIF {Profile 5, Profile G, Profile T, Profile M], API, SD card max 256G, WDR 120dB, 20/3D DNR, S/N 256, BLC, HLC, ROI 8 aree, Corridor mode, Digital Defog, Digital Flip, microfono incorporato, privacy mask 4 aree, funzione J ANR, gestione profili separati Indipendenti. Algoritmi intelfigenti deep learning: attraversamento linea, motlon detector 4 aree, Ingresso In area, Intrusion, uscita dall'area, intelligent face capture, People Flow Counting, Crowd Density Monitoring,",Sistemi Over IP,Telecamere Video Analisi Premium Everlight,Hykon,ITCX502,376.0,"na,",listino,pz
ITCX504,ITCX504 - Mini Bullet HYKON InTelligent Camera 5 Megapixel IP,"tampering, audio detechion. Viteria In acciaio, dim. 155.9 x 63.1 x 62./mm, IP67, temperatura di funzionamento 30°C "" 60° peso 1KE, alim. 17YVcc/PoE IEEE802.3af. pr“ = i 4 OFW sura sens LIT Qnwire: Mini Bullet HYKON InTelligent Camera 5 Megapixel IP, sensore 172,7” EVERLIGHT technology CMO05, compressione Ultra H.265, H.264/ H.265/ MIPEG, ottica fissa Amm, 0,002 Lux illluminazione minima, Day/f Night ICR (Filtro Meccanico), Smart IR portata ted 40m, ONVIF {Profile 5, Profile 6, Profile T, Profile M], API, SD card max 256G, WDR 120dB, 2D/3D DNR, S/N >56, BLC, HLC, ROI 8 aree, Corridor mode, Digital Defog, Digital Flip, microfono incorporato, privacy mask 4 aree, funzione g ANR, sestione profili separati indipendenti. Algoritmi intelfigenti deep learning: attraversamento linea, motion detector 4",Sistemi Over IP,Telecamere Video Analisi Premium Everlight,Hykon,ITCX504,376.0,dx,listino,pz
ITCM50,ITCM50 - Eyeball HYKON InTelligent Camera 5 Megapixel IP,"E DESCRIZIONE BF RT ea Onvir Eyeball HYKON InTelligent Camera 5 Megapixel IP, sensore 1/2,7” EVERLIGHT technology CMOS, compressione Ultra H.265, H.264/ H.265/ MIPEG, ottica fissa 2,8mm @F1.6, 0,002? Lux illluminazione minima, Day/Night , ECR [Fiitro Meccanico), Smart IR portata led 40m, ONVIF (Profile 5, Profile G, Profile T, Profile MM}, API, SD card max 256G, a WDR 120dB, 2D/3D DINR, 5/N >56, BLC, HLC, ROI 8 aree, Corridor mode, Digital Defog, Digital Flip, microfono incorporato, 4 privacy mask 4 aree, funzione ANR, NAS[NFS)], gestione profili separati indipendenti. Algoritmi intelligenti deep leaming: attraversamento linea, motion detector 4 aree, Ingresso In area, Intrusion, uscita dall'area, Intelligent face capture, People F Counting, Crowd Density Monitoring, tampering, audio detection. Viteria In acciaio, dim. ©110.5 x 94.1mm, IP67, temperati",Sistemi Over IP,Telecamere Video Analisi Premium Everlight,Hykon,ITCM50,378.0,ACCESSORI,listino,pz
